,economia_19
"AF";"584"
"AX";"99999999999998"
"AL";"4054"
"DZ";"3917"
"AS";"99999999999998"
"AD";"36987"
"AO";"3711"
"AI";"22861"
"AQ";"99999999999998"
"AG";"14462"
"AR";"12449"
"AM";"3615"
"AW";"25444"
"AU";"54069"
"AT";"44857"
"AZ";"3892"
"BS";"28785"
"BH";"22579"
"BD";"1355"
"BB";"15975"
"BY";"5001"
"BE";"41199"
"BZ";"4745"
"BJ";"818"
"BM";"99363"
"BT";"2774"
"BO";"3105"
"BQ";"99999999999998"
"BA";"4808"
"BW";"6917"
"BV";"99999999999998"
"BR";"8649"
"IO";"99999999999998"
"BN";"26939"
"BG";"7465"
"BF";"627"
"BI";"273"
"CV";"3038"
"KH";"1270"
"CM";"1374"
"CA";"42154"
"KY";"63261"
"CF";"394"
"TD";"780"
"CL";"13794"
"CN";"7993"
"CX";"99999999999998"
"CC";"99999999999998"
"CO";"5806"
"KM";"1445"
"CD";"512"
"CG";"1517"
"CK";"16698"
"CR";"11825"
"CI";"1552"
"HR";"12159"
"CU";"7815"
"CW";"19586"
"CY";"23631"
"CZ";"18406"
"DK";"53730"
"DJ";"2007"
"DM";"7907"
"DO";"6722"
"EC";"5982"
"EG";"2823"
"SV";"4224"
"GQ";"8742"
"ER";"1093"
"EE";"17782"
"ET";"687"
"FK";"99999999999998"
"FO";"99999999999998"
"FJ";"5197"
"FI";"43339"
"FR";"36826"
"GF";"99999999999998"
"PF";"19335"
"TF";"99999999999998"
"GA";"7002"
"GM";"484"
"GE";"3651"
"DE";"42456"
"GH";"1517"
"GI";"99999999999998"
"GR";"17230"
"GL";"40469"
"GD";"9469"
"GP";"99999999999998"
"GU";"99999999999998"
"GT";"4147"
"GG";"99999999999998"
"GN";"684"
"GW";"618"
"GY";"4444"
"HT";"705"
"HM";"99999999999998"
"VA";"99999999999998"
"HN";"2361"
"HK";"43943"
"HU";"12900"
"IS";"60966"
"IN";"1706"
"ID";"3570"
"IR";"5299"
"IQ";"4301"
"IE";"64497"
"IM";"99999999999998"
"IL";"38788"
"IT";"31279"
"JM";"4879"
"JP";"38640"
"JE";"99999999999998"
"JO";"4088"
"KZ";"7505"
"KE";"1455"
"KI";"1518"
"KP";"665"
"KR";"27785"
"KW";"27229"
"KG";"1100"
"LA";"2339"
"LV";"13993"
"LB";"8400"
"LS";"1017"
"LR";"598"
"LY";"6826"
"LI";"164437"
"LT";"14707"
"LU";"101835"
"MO";"74018"
"MK";"5163"
"MG";"451"
"MW";"294"
"MY";"9508"
"MV";"9875"
"ML";"778"
"MT";"25616"
"MH";"3449"
"MQ";"99999999999998"
"MR";"1085"
"MU";"9679"
"YT";"99999999999998"
"MX";"8444"
"FM";"3144"
"MD";"1668"
"MC";"168004"
"MN";"3686"
"ME";"6958"
"MS";"12044"
"MA";"2937"
"MZ";"379"
"MM";"1242"
"NA";"4415"
"NR";"9119"
"NP";"722"
"NL";"45753"
"NC";"34641"
"NZ";"40233"
"NI";"2151"
"NE";"364"
"NG";"2176"
"NU";"99999999999998"
"NF";"99999999999998"
"MP";"99999999999998"
"NO";"70617"
"OM";"14277"
"PK";"1462"
"PW";"14428"
"PS";"2796"
"PA";"13680"
"PG";"2436"
"PY";"4039"
"PE";"6049"
"PH";"2951"
"PN";"99999999999998"
"PL";"12332"
"PT";"19750"
"PR";"28636"
"QA";"59324"
"RE";"99999999999998"
"RO";"9439"
"RU";"8655"
"RW";"711"
"BL";"99999999999998"
"SH";"99999999999998"
"KN";"16597"
"LC";"7848"
"MF";"99999999999998"
"PM";"99999999999998"
"VC";"6980"
"WS";"4214"
"SM";"47910"
"ST";"1715"
"SA";"19817"
"SN";"948"
"RS";"5426"
"SC";"15217"
"SL";"497"
"SG";"52814"
"SX";"27116"
"SK";"16489"
"SI";"21517"
"SB";"1892"
"SO";"92"
"ZA";"5274"
"GS";"99999999999998"
"SS";"534"
"ES";"26695"
"LK";"3910"
"SD";"2094"
"SR";"5871"
"SJ";"99999999999998"
"SZ";"2983"
"SE";"52297"
"CH";"79609"
"SY";"1203"
"TW";"99999999999998"
"TJ";"796"
"TZ";"881"
"TH";"5911"
"TL";"2131"
"TG";"585"
"TK";"99999999999998"
"TO";"3748"
"TT";"17646"
"TN";"3657"
"TR";"10863"
"TM";"6389"
"TC";"26291"
"TV";"3307"
"UG";"610"
"UA";"2099"
"AE";"37622"
"GB";"40249"
"UM";"99999999999998"
"US";"57808"
"UY";"15221"
"UZ";"2155"
"VU";"3097"
"VE";"9230"
"VN";"2171"
"VG";"31677"
"VI";"99999999999998"
"WF";"99999999999998"
"EH";"99999999999998"
"YE";"920"
"ZM";"1270"
"ZW";"998"
