,economia_18
"AF";"5587"
"AX";"99999999999998"
"AL";"7177"
"DZ";"85333"
"AS";"99999999999998"
"AD";"2936"
"AO";"23552"
"AI";"201"
"AQ";"99999999999998"
"AG";"898"
"AR";"165948"
"AM";"3814"
"AW";"2228"
"AU";"678686"
"AT";"300917"
"AZ";"8680"
"BS";"9055"
"BH";"13150"
"BD";"55950"
"BB";"3514"
"BY";"23984"
"BE";"370901"
"BZ";"1058"
"BJ";"4521"
"BM";"4485"
"BT";"703"
"BO";"8773"
"BQ";"99999999999998"
"BA";"10410"
"BW";"8958"
"BV";"99999999999998"
"BR";"669289"
"IO";"99999999999998"
"BN";"8723"
"BG";"25958"
"BF";"4839"
"BI";"680"
"CV";"1051"
"KH";"5338"
"CM";"17065"
"CA";"1023181"
"KY";"2662"
"CF";"1329"
"TD";"5022"
"CL";"99260"
"CN";"1966244"
"CX";"99999999999998"
"CC";"99999999999998"
"CO";"117082"
"KM";"762"
"CD";"10297"
"CG";"4649"
"CK";"178"
"CR";"18529"
"CI";"16555"
"HR";"41574"
"CU";"38203"
"CW";"99999999999998"
"CY";"17306"
"CZ";"118976"
"DK";"251375"
"DJ";"666"
"DM";"375"
"DO";"22233"
"EC";"36592"
"EG";"79187"
"SV";"15798"
"GQ";"5621"
"ER";"1109"
"EE";"12059"
"ET";"9936"
"FK";"99999999999998"
"FO";"99999999999998"
"FJ";"2761"
"FI";"196777"
"FR";"2124205"
"GF";"99999999999998"
"PF";"5553"
"TF";"99999999999998"
"GA";"7844"
"GM";"579"
"GE";"5126"
"DE";"2819368"
"GH";"14233"
"GI";"99999999999998"
"GR";"240532"
"GL";"1622"
"GD";"599"
"GP";"99999999999998"
"GU";"99999999999998"
"GT";"23965"
"GG";"99999999999998"
"GN";"5028"
"GW";"531"
"GY";"1256"
"HT";"3660"
"HM";"99999999999998"
"VA";"99999999999998"
"HN";"8871"
"HK";"169100"
"HU";"104067"
"IS";"13723"
"IN";"693726"
"ID";"273461"
"IR";"190043"
"IQ";"26193"
"IE";"193879"
"IM";"99999999999998"
"IL";"135446"
"IT";"1798393"
"JM";"10175"
"JP";"4815168"
"JE";"99999999999998"
"JO";"11411"
"KZ";"43152"
"KE";"18471"
"KI";"102"
"KP";"11168"
"KR";"764881"
"KW";"59437"
"KG";"2212"
"LA";"2577"
"LV";"14374"
"LB";"21146"
"LS";"1407"
"LR";"644"
"LY";"33293"
"LI";"3821"
"LT";"22647"
"LU";"34687"
"MO";"10586"
"MK";"5683"
"MG";"5141"
"MW";"3476"
"MY";"124749"
"MV";"1227"
"ML";"5444"
"MT";"6044"
"MH";"131"
"MQ";"99999999999998"
"MR";"1889"
"MU";"6869"
"YT";"99999999999998"
"MX";"782243"
"FM";"241"
"MD";"2598"
"MC";"4051"
"MN";"2310"
"ME";"2093"
"MS";"44"
"MA";"59838"
"MZ";"6832"
"MM";"10254"
"NA";"6480"
"NR";"28"
"NP";"7286"
"NL";"650561"
"NC";"5884"
"NZ";"102446"
"NI";"5774"
"NE";"2897"
"NG";"141261"
"NU";"99999999999998"
"NF";"99999999999998"
"MP";"99999999999998"
"NO";"264356"
"OM";"24764"
"PK";"104352"
"PW";"173"
"PS";"4329"
"PA";"14179"
"PG";"6276"
"PY";"8034"
"PE";"66781"
"PH";"91371"
"PN";"99999999999998"
"PL";"255099"
"PT";"189196"
"PR";"80322"
"QA";"31355"
"RE";"99999999999998"
"RO";"76218"
"RU";"590940"
"RW";"2088"
"BL";"99999999999998"
"SH";"99999999999998"
"KN";"503"
"LC";"885"
"MF";"99999999999998"
"PM";"99999999999998"
"VC";"522"
"WS";"385"
"SM";"1942"
"ST";"105"
"SA";"258742"
"SN";"8031"
"RS";"24862"
"SC";"839"
"SL";"1449"
"SG";"114187"
"SX";"99999999999998"
"SK";"43056"
"SI";"34471"
"SB";"364"
"SO";"1984"
"ZA";"228590"
"GS";"99999999999998"
"SS";"99999999999998"
"ES";"1069602"
"LK";"23646"
"SD";"99999999999998"
"SR";"1806"
"SJ";"99999999999998"
"SZ";"2770"
"SE";"381706"
"CH";"394165"
"SY";"24546"
"TW";"99999999999998"
"TJ";"2076"
"TZ";"16390"
"TH";"172896"
"TL";"1106"
"TG";"2256"
"TK";"99999999999998"
"TO";"238"
"TT";"13280"
"TN";"31184"
"TR";"404776"
"TM";"12155"
"TC";"486"
"TV";"22"
"UG";"9372"
"UA";"67218"
"AE";"149756"
"GB";"2398643"
"UM";"99999999999998"
"US";"12274928"
"UY";"13686"
"UZ";"12087"
"VU";"365"
"VE";"112451"
"VN";"49494"
"VG";"731"
"VI";"99999999999998"
"WF";"99999999999998"
"EH";"99999999999998"
"YE";"15617"
"ZM";"6221"
"ZW";"6420"
