;sintese_39
"AF";"652230"
"AX";"99999999999998"
"AL";"28748"
"DZ";"2381741"
"AS";"199"
"AD";"468"
"AO";"1246700"
"AI";"91"
"AQ";"14000000"
"AG";"442.6"
"AR";"2780400"
"AM";"29743"
"AW";"180"
"AU";"7741220"
"AT";"83871"
"AZ";"86600"
"BS";"13880"
"BH";"760"
"BD";"148460"
"BB";"430"
"BY";"207600"
"BE";"30528"
"BZ";"22966"
"BJ";"112622"
"BM";"54"
"BT";"38394"
"BO";"1098581"
"BQ";"99999999999998"
"BA";"51197"
"BW";"581730"
"BV";"49"
"BR";"8515770"
"IO";"60"
"BN";"5765"
"BG";"110879"
"BF";"274200"
"BI";"27830"
"CV";"4033"
"KH";"181035"
"CM";"475440"
"CA";"9984670"
"KY";"264"
"CF";"622984"
"TD";"1284000"
"CL";"756102"
"CN";"9596960"
"CX";"135"
"CC";"14"
"CO";"1138910"
"KM";"2235"
"CD";"2344858"
"CG";"342000"
"CK";"236"
"CR";"51100"
"CI";"322463"
"HR";"56594"
"CU";"110860"
"CW";"444"
"CY";"9251"
"CZ";"78867"
"DK";"43094"
"DJ";"23200"
"DM";"751"
"DO";"48670"
"EC";"283561"
"EG";"1001450"
"SV";"21041"
"GQ";"28051"
"ER";"117600"
"EE";"45228"
"ET";"1104300"
"FK";"12173"
"FO";"1393"
"FJ";"18274"
"FI";"338145"
"FR";"643801"
"GF";"99999999999998"
"PF";"4167"
"TF";"99999999999998"
"GA";"267667"
"GM";"11300"
"GE";"69700"
"DE";"357022"
"GH";"238533"
"GI";"6.5"
"GR";"131957"
"GL";"2166086"
"GD";"344"
"GP";"99999999999998"
"GU";"544"
"GT";"108889"
"GG";"78"
"GN";"245857"
"GW";"36125"
"GY";"214969"
"HT";"27750"
"HM";"412"
"VA";"0.44"
"HN";"112090"
"HK";"99999999999998"
"HU";"93028"
"IS";"103000"
"IN";"3287263"
"ID";"1904569"
"IR";"99999999999998"
"IQ";"438317"
"IE";"70273"
"IM";"572"
"IL";"20770"
"IT";"301340"
"JM";"10991"
"JP";"377915"
"JE";"116"
"JO";"89342"
"KZ";"2724900"
"KE";"580367"
"KI";"811"
"KP";"120538"
"KR";"99720"
"KW";"17818"
"KG";"199951"
"LA";"236800"
"LV";"64589"
"LB";"10400"
"LS";"30355"
"LR";"111369"
"LY";"1759540"
"LI";"160"
"LT";"65300"
"LU";"2586"
"MO";"99999999999998"
"MK";"25713"
"MG";"587041"
"MW";"118484"
"MY";"329847"
"MV";"298"
"ML";"1240192"
"MT";"316"
"MH";"181"
"MQ";"99999999999998"
"MR";"1030700"
"MU";"2040"
"YT";"99999999999998"
"MX";"1964375"
"FM";"702"
"MD";"33851"
"MC";"2"
"MN";"1564116"
"ME";"13812"
"MS";"102"
"MA";"446550"
"MZ";"799380"
"MM";"676578"
"NA";"824292"
"NR";"21"
"NP";"147181"
"NL";"41543"
"NC";"18575"
"NZ";"268838"
"NI";"130370"
"NE";"1267000"
"NG";"923768"
"NU";"260"
"NF";"36"
"MP";"464"
"NO";"323802"
"OM";"309500"
"PK";"796095"
"PW";"459"
"PS";"99999999999998"
"PA";"75420"
"PG";"462840"
"PY";"406752"
"PE";"1285216"
"PH";"300000"
"PN";"47"
"PL";"312685"
"PT";"92090"
"PR";"9104"
"QA";"11586"
"RE";"99999999999998"
"RO";"238391"
"RU";"17098242"
"RW";"26338"
"BL";"25"
"SH";"394"
"KN";"261"
"LC";"616"
"MF";"54.4"
"PM";"242"
"VC";"389"
"WS";"2831"
"SM";"61"
"ST";"964"
"SA";"2149690"
"SN";"196722"
"RS";"77474"
"SC";"455"
"SL";"71740"
"SG";"719.2"
"SX";"34"
"SK";"49035"
"SI";"20273"
"SB";"28896"
"SO";"637657"
"ZA";"1219090"
"GS";"99999999999998"
"SS";"644329"
"ES";"505370"
"LK";"65610"
"SD";"1861484"
"SR";"163820"
"SJ";"62045"
"SZ";"17364"
"SE";"450295"
"CH";"41277"
"SY";"185180"
"TW";"35980"
"TJ";"144100"
"TZ";"947300"
"TH";"513120"
"TL";"14874"
"TG";"56785"
"TK";"12"
"TO";"747"
"TT";"5128"
"TN";"163610"
"TR";"783562"
"TM";"488100"
"TC";"948"
"TV";"26"
"UG";"241038"
"UA";"603550"
"AE";"83600"
"GB";"243610"
"UM";"99999999999998"
"US";"9833517"
"UY";"176215"
"UZ";"447400"
"VU";"12189"
"VE";"912050"
"VN";"331210"
"VG";"151"
"VI";"1910"
"WF";"142"
"EH";"266000"
"YE";"527968"
"ZM";"752618"
"ZW";"390757"
